iter	Logloss
0	0.6778109733
1	0.6646519848
2	0.6511429572
3	0.6388421561
4	0.6270535461
5	0.6158298156
6	0.6052810365
7	0.5948021609
8	0.5851253933
9	0.5763457643
10	0.5679301292
11	0.5599547383
12	0.5522577443
13	0.5461538809
14	0.5396167723
15	0.5336202855
16	0.5277936887
17	0.5230251649
18	0.5174777909
19	0.5128262512
20	0.507763724
21	0.5030345428
22	0.4987915561
23	0.4943416411
24	0.4905005561
25	0.4871601855
26	0.4834326502
27	0.4800291578
28	0.4766857875
29	0.4738321766
30	0.4713376037
31	0.469557629
32	0.4671078761
33	0.4643259945
34	0.4620935598
35	0.4598984243
36	0.4577804522
37	0.4559089682
38	0.4537438287
39	0.451624335
40	0.4495002334
41	0.4477296922
42	0.4459259816
43	0.4441149242
44	0.4424973186
45	0.4411282879
46	0.4403874759
47	0.4389458898
48	0.4374833066
49	0.4362899911
50	0.435308038
51	0.4339291825
52	0.4329071045
53	0.4317420894
54	0.430670279
55	0.4295851661
56	0.4284627974
57	0.4274338073
58	0.4264326829
59	0.4256658744
60	0.4247422178
61	0.4238798571
62	0.4231003112
63	0.4221409637
64	0.4213661129
65	0.4206436896
66	0.4198680563
67	0.4192152322
68	0.4184878097
69	0.4177240008
70	0.417073133
71	0.4164223956
72	0.4157997414
73	0.4151723487
74	0.414546521
75	0.4138859154
76	0.4133094722
77	0.4128738795
78	0.4122467476
79	0.4116655225
80	0.4111204229
81	0.410567107
82	0.4101644228
83	0.4097038769
84	0.4092755005
85	0.4087779162
86	0.4084114444
87	0.4079071219
88	0.4075668639
89	0.4072884671
90	0.4071415306
91	0.406792839
92	0.4065433513
93	0.4061601862
94	0.4057876717
95	0.4054231562
96	0.4050631184
97	0.404671563
98	0.4043513024
99	0.403993612
100	0.4036375301
101	0.4035814073
102	0.4032508872
103	0.402961318
104	0.4026441438
105	0.4023125803
106	0.4019645843
107	0.4015897658
108	0.4013125428
109	0.4009424628
110	0.4006048132
111	0.4003514999
112	0.4000790153
113	0.399843004
114	0.3995607816
115	0.399235739
116	0.3990111609
117	0.3986419939
118	0.3983244719
119	0.3980944163
120	0.3979382637
121	0.3975917023
122	0.3973802528
123	0.3971624565
124	0.3968841466
125	0.3966373107
126	0.3963846495
127	0.3961712873
128	0.395971271
129	0.3957693421
130	0.3954619057
131	0.3953785693
132	0.3952437181
133	0.395078045
134	0.3950609169
135	0.3948632047
136	0.3947125296
137	0.394426047
138	0.3942828056
139	0.3941553013
140	0.3939513725
141	0.3937420967
142	0.3935178664
143	0.393383363
144	0.3931731743
145	0.3929641593
146	0.3928957339
147	0.3926448985
148	0.3925714303
149	0.3925527372
150	0.3924350141
151	0.3922654285
152	0.3920587176
153	0.3918288793
154	0.3917462819
155	0.3914468879
156	0.3912158325
157	0.3910999352
158	0.3909575634
159	0.3907785443
160	0.3906491706
161	0.3905084941
162	0.3902303582
163	0.3899748278
164	0.3898540182
165	0.3897159935
166	0.3895605364
167	0.3894659841
168	0.3893157003
169	0.3891643296
170	0.3890367383
171	0.3889192761
172	0.3886912202
173	0.3886154479
174	0.3885538041
175	0.3885025068
176	0.3883071421
177	0.3880933887
178	0.3880076177
179	0.3878582903
180	0.3877288297
181	0.3875873272
182	0.3874943834
183	0.3873142775
184	0.387179122
185	0.3870077541
186	0.3868736854
187	0.3867408339
188	0.3865801602
189	0.3863458009
190	0.3862380329
191	0.3860576662
192	0.3858507379
193	0.3856878906
194	0.3855586038
195	0.3854618779
196	0.3852352131
197	0.3851515724
198	0.3850407614
199	0.3848757839
200	0.3848200524
201	0.3846010387
202	0.3845913879
203	0.384476447
204	0.3843459431
205	0.3842849079
206	0.3841548387
207	0.3839832099
208	0.3837270275
209	0.3836045224
210	0.3835895245
211	0.3834368931
212	0.3834334588
213	0.3832805666
214	0.3830742904
215	0.3829134428
216	0.3827452918
217	0.3825658815
218	0.3824109026
219	0.3822344919
220	0.3821090742
221	0.3820320412
222	0.3819148833
223	0.3817895525
224	0.3816024911
225	0.3815032003
226	0.3812895337
227	0.3811354243
228	0.3809594483
229	0.3808340741
230	0.3807019182
231	0.3805730227
232	0.3804197828
233	0.380318101
234	0.3801073036
235	0.3800021875
236	0.379856903
237	0.3798081705
238	0.3795692031
239	0.3795685075
240	0.3793936183
241	0.3792765473
242	0.3792250761
243	0.3790805741
244	0.3789310292
245	0.3788394765
246	0.3787723552
247	0.3786576752
248	0.3785254324
249	0.3784712658
250	0.3783175042
251	0.3781570478
252	0.3779911574
253	0.3778603057
254	0.3776584201
255	0.3775955157
256	0.3775039195
257	0.37738211
258	0.3772097422
259	0.3770984095
260	0.3770108563
261	0.37688483
262	0.3767863651
263	0.3766692072
264	0.3765534404
265	0.3764764943
266	0.3763965052
267	0.3762641755
268	0.3761682755
269	0.3760440316
270	0.375945871
271	0.3758636214
272	0.3757781548
273	0.3756812115
274	0.3755694441
275	0.375462024
276	0.3753246079
277	0.3752454448
278	0.3751854964
279	0.3750665996
280	0.3749791333
281	0.3749076648
282	0.3748914061
283	0.3746779135
284	0.3745217609
285	0.3744377288
286	0.3743665212
287	0.3742842715
288	0.3742038477
289	0.3740181339
290	0.3737888608
291	0.3737314773
292	0.3736788758
293	0.3734579929
294	0.3732992319
295	0.3731429489
296	0.3730394847
297	0.372922805
298	0.3728187322
299	0.3727284836
300	0.3726278886
301	0.3724847343
302	0.3723379282
303	0.3722064678
304	0.372106438
305	0.3719805856
306	0.3718785995
307	0.3717212297
308	0.3715487314
309	0.3714054466
310	0.3712640746
311	0.3711679138
312	0.3709412491
313	0.3708110929
314	0.3707282346
315	0.3707019773
316	0.3705505197
317	0.3704849634
318	0.3703339406
319	0.3702344759
320	0.3700484143
321	0.3698700473
322	0.3698086209
323	0.3697362829
324	0.3696362096
325	0.3694621029
